Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
South Africa,Eastern Cape,Fort Malan Clinic,Clinic,MoH,-32.1512999999999,28.5234999999999,GPS
South Africa,Eastern Cape,Frankfort Clinic,Clinic,MoH,-32.7201999999999,27.4527,GPS
South Africa,Eastern Cape,Fransbury Clinic,Clinic,MoH,-31.9642,27.0748,GPS
South Africa,Eastern Cape,Frere Gateway Clinic,Clinic,MoH,-32.9971,27.8898,GPS
South Africa,Eastern Cape,Frere Hospital,Provincial Tertiary Hospital,MoH,-32.9958999999999,27.8916,GPS
South Africa,Eastern Cape,Frontier Hospital,Regional Hospital,MoH,-31.8891999999999,26.8713,GPS
South Africa,Eastern Cape,Gardens Clinic,Clinic,MoH,-31.8949,26.8719,GPS
South Africa,Eastern Cape,Gcaleka Clinic,Clinic,MoH,-32.3378999999999,28.3199,GPS
South Africa,Eastern Cape,Gelvandale Clinic,Clinic,MoH,-33.9164999999999,25.5490999999999,GPS
South Africa,Eastern Cape,Gilton Clinic,Clinic,MoH,-32.6617999999999,26.9423999999999,GPS
South Africa,Eastern Cape,Ginsberg Clinic,Clinic,MoH,-32.8920999999999,27.3855,GPS
South Africa,Eastern Cape,Glen Grey Hospital,District Hospital,MoH,-31.7198999999999,27.1994,GPS
South Africa,Eastern Cape,Glenmore Clinic,Clinic,MoH,-33.1426,26.8584,GPS
South Africa,Eastern Cape,Gompo A Ndende Clinic,Clinic,MoH,-33.0071999999999,27.8762,GPS
South Africa,Eastern Cape,Gompo B Jwayi Clinic,Clinic,MoH,-33.0167,27.8578,GPS
South Africa,Eastern Cape,Gompo C Jabavu Clinic,Clinic,MoH,-33.0116,27.8639,GPS
South Africa,Eastern Cape,Gonubie Clinic,Clinic,MoH,-32.9414999999999,28.0218999999999,GPS
South Africa,Eastern Cape,Good Hope Clinic,Clinic,MoH,-31.3274,29.2602,GPS
South Africa,Eastern Cape,Goso Forest Clinic,Clinic,MoH,-31.2331,29.3733,GPS
South Africa,Eastern Cape,Govan Mbeki Clinic,Clinic,MoH,-33.9480999999999,25.6064,GPS
South Africa,Eastern Cape,Gqaga Clinic,Clinic,MoH,-31.5540999999999,28.2107999999999,GPS
South Africa,Eastern Cape,Gqaqhala Clinic,Clinic,MoH,-31.2828,28.3874999999999,GPS
South Africa,Eastern Cape,Gqebera CHC,Community Health Centre,MoH,-33.9861,25.5888999999999,GPS
South Africa,Eastern Cape,Gqogqora Clinic,Clinic,MoH,-31.9804999999999,27.8884,GPS
South Africa,Eastern Cape,Gqubeni Clinic,Clinic,MoH,-31.5520999999999,29.4587,GPS
South Africa,Eastern Cape,Gqunqe Clinic,Clinic,MoH,-32.4688,28.5627,GPS
South Africa,Eastern Cape,Graaff-Reinet Day Hospital,Community Health Centre,MoH,-32.2727999999999,24.5523999999999,GPS
South Africa,Eastern Cape,Gracey Clinic,Clinic,MoH,-32.5786999999999,25.1283999999999,GPS
South Africa,Eastern Cape,Grahamstown Clinic,Clinic,MoH,-33.3115999999999,26.5263999999999,GPS
South Africa,Eastern Cape,Grahamstown FP Clinic,Clinic,MoH,-33.3115999999999,26.5263999999999,GPS
South Africa,Eastern Cape,Grainvalley Clinic,Clinic,MoH,-32.2376,28.0486,GPS
South Africa,Eastern Cape,Greenfields Clinic,Clinic,MoH,-33.0352,27.8641,GPS
South Africa,Eastern Cape,Greenville Gateway Clinic,Clinic,MoH,-30.919,30.0994999999999,GPS
South Africa,Eastern Cape,Greenville Hospital,District Hospital,MoH,-30.9316,30.1088999999999,GPS
South Africa,Eastern Cape,Grey Gateway Clinic,Clinic,MoH,-32.8796,27.3958,GPS
South Africa,Eastern Cape,Grey Hospital,District Hospital,MoH,-32.8793,27.3958,GPS
South Africa,Eastern Cape,Guba Clinic,Clinic,MoH,-31.5353999999999,27.2792999999999,GPS
South Africa,Eastern Cape,Gubenxa Clinic,Clinic,MoH,-31.7174,27.821,GPS
South Africa,Eastern Cape,Gura Clinic,Clinic,MoH,-31.0265999999999,28.8411,GPS
South Africa,Eastern Cape,Gustav Lamour Clinic,Clinic,MoH,-33.8158999999999,25.4638999999999,GPS
South Africa,Eastern Cape,Gwabeni Clinic,Clinic,MoH,-33.0961,26.9619,GPS
South Africa,Eastern Cape,Gwadana Clinic,Clinic,MoH,-32.1428999999999,28.2889,GPS
South Africa,Eastern Cape,Gwadu Clinic,Clinic,MoH,-32.2203,28.6677,GPS
South Africa,Eastern Cape,Gwatyu Clinic,Clinic,MoH,-32.0169,27.3156,GPS
South Africa,Eastern Cape,Gxulu Clinic,Clinic,MoH,-32.6452,27.1099,GPS
South Africa,Eastern Cape,Gxwederha Clinic,Clinic,MoH,-32.8416,26.7865,GPS
South Africa,Eastern Cape,Hackney Clinic,Clinic,MoH,-32.3143999999999,26.6451999999999,GPS
South Africa,Eastern Cape,Hamburg Clinic,Clinic,MoH,-33.2905,27.4732999999999,GPS
South Africa,Eastern Cape,Haytor Clinic,Clinic,MoH,-32.2941999999999,26.7704999999999,GPS
South Africa,Eastern Cape,Healdtown Clinic,Clinic,MoH,-32.7314999999999,26.7014999999999,GPS
South Africa,Eastern Cape,Hebe-Hebe Clinic,Clinic,MoH,-32.2359999999999,27.8303,GPS
South Africa,Eastern Cape,Helenvale Clinic,Clinic,MoH,-33.9112999999999,25.5513,GPS
South Africa,Eastern Cape,Herschel Clinic,Clinic,MoH,-30.6146999999999,27.1644,GPS
South Africa,Eastern Cape,Hewu Hospital,District Hospital,MoH,-32.1726999999999,26.8051999999999,GPS
South Africa,Eastern Cape,High Street Clinic,Clinic,MoH,-32.1685999999999,25.6161999999999,GPS
South Africa,Eastern Cape,Highview Clinic,Clinic,MoH,-32.4350999999999,27.9467,GPS
South Africa,Eastern Cape,Hillside Clinic Nkonkobe,Clinic,MoH,-32.7522,26.6398,GPS
South Africa,Eastern Cape,Hillside Clinic Senqu,Clinic,MoH,-30.561,27.5642,GPS
South Africa,Eastern Cape,Hilton Clinic,Clinic,MoH,-30.6970999999999,26.7018999999999,GPS
South Africa,Eastern Cape,Hlabatshane Clinic,Clinic,MoH,-31.7449,28.8566,GPS
South Africa,Eastern Cape,Hlala Uphilile Clinic,Clinic,MoH,-31.381,27.0367,GPS
South Africa,Eastern Cape,Hlamandana Clinic,Clinic,MoH,-30.8175999999999,29.7200999999999,GPS
South Africa,Eastern Cape,Hlangalane Clinic,Clinic,MoH,-30.9586,28.5504,GPS
South Africa,Eastern Cape,Hlankomo Clinic,Clinic,MoH,-30.9302999999999,28.4191,GPS
South Africa,Eastern Cape,Hlomendlini Clinic,Clinic,MoH,-30.5857999999999,27.2632,GPS
