name,type,ownership,latitude,longitude,source
Ethembeni Clinic,Clinic,MoH,-32.7628,27.4318,GPS
Eureka Clinic,Clinic,MoH,-31.0103,26.3190,GPS
Ezibeleni Clinic,Clinic,MoH,-31.9081,26.9564,GPS
Ezingcuka Clinic,Clinic,MoH,-31.3005,28.6583,GPS
Fezeka NU 3 Clinic,Clinic,MoH,-32.9319,27.7532,GPS
Fish River Clinic,Clinic,MoH,-31.9119,25.4159,GPS
Flagstaff Clinic,Clinic,MoH,-31.0803,29.4969,GPS
Fort Beaufort Gateway Clinic,Clinic,MoH,-32.7816,26.6348,GPS
Fort Beaufort Hospital,District Hospital,MoH,-32.7802,26.6336,GPS
Fort Grey Clinic,Clinic,MoH,-33.0370,27.8032,GPS
Fort Malan Clinic,Clinic,MoH,-32.1513,28.5235,GPS
Frankfort Clinic,Clinic,MoH,-32.7202,27.4527,GPS
Fransbury Clinic,Clinic,MoH,-31.9642,27.0748,GPS
Frere Gateway Clinic,Clinic,MoH,-32.9971,27.8898,GPS
Frere Hospital,Provincial Tertiary Hospital,MoH,-32.9959,27.8916,GPS
Frontier Hospital,Regional Hospital,MoH,-31.8892,26.8713,GPS
Gardens Clinic,Clinic,MoH,-31.8949,26.8719,GPS
Gcaleka Clinic,Clinic,MoH,-32.3379,28.3199,GPS
Gelvandale Clinic,Clinic,MoH,-33.9165,25.5491,GPS
Gilton Clinic,Clinic,MoH,-32.6618,26.9424,GPS
Ginsberg Clinic,Clinic,MoH,-32.8921,27.3855,GPS
Glen Grey Hospital,District Hospital,MoH,-31.7199,27.1994,GPS
Glenmore Clinic,Clinic,MoH,-33.1426,26.8584,GPS
Gompo A Ndende Clinic,Clinic,MoH,-33.0072,27.8762,GPS
Gompo B Jwayi Clinic,Clinic,MoH,-33.0167,27.8578,GPS
Gompo C Jabavu Clinic,Clinic,MoH,-33.0116,27.8639,GPS
Gonubie Clinic,Clinic,MoH,-32.9415,28.0219,GPS
Good Hope Clinic,Clinic,MoH,-31.3274,29.2602,GPS
Goso Forest Clinic,Clinic,MoH,-31.2331,29.3733,GPS
Govan Mbeki Clinic,Clinic,MoH,-33.9481,25.6064,GPS
Gqaga Clinic,Clinic,MoH,-31.5541,28.2108,GPS
Gqaqhala Clinic,Clinic,MoH,-31.2828,28.3875,GPS
Gqebera CHC,Community Health Centre,MoH,-33.9861,25.5889,GPS
Gqogqora Clinic,Clinic,MoH,-31.9805,27.8884,GPS
Gqubeni Clinic,Clinic,MoH,-31.5521,29.4587,GPS
Gqunqe Clinic,Clinic,MoH,-32.4688,28.5627,GPS
Graaff-Reinet Day Hospital,Community Health Centre,MoH,-32.2728,24.5524,GPS
Gracey Clinic,Clinic,MoH,-32.5787,25.1284,GPS
Grahamstown Clinic,Clinic,MoH,-33.3116,26.5264,GPS
Grahamstown FP Clinic,Clinic,MoH,-33.3116,26.5264,GPS
Grainvalley Clinic,Clinic,MoH,-32.2376,28.0486,GPS
Greenfields Clinic,Clinic,MoH,-33.0352,27.8641,GPS
Greenville Gateway Clinic,Clinic,MoH,-30.9190,30.0995,GPS
Greenville Hospital,District Hospital,MoH,-30.9316,30.1089,GPS
Grey Gateway Clinic,Clinic,MoH,-32.8796,27.3958,GPS
Grey Hospital,District Hospital,MoH,-32.8793,27.3958,GPS
Guba Clinic,Clinic,MoH,-31.5354,27.2793,GPS
Gubenxa Clinic,Clinic,MoH,-31.7174,27.8210,GPS
Gura Clinic,Clinic,MoH,-31.0266,28.8411,GPS
Gustav Lamour Clinic,Clinic,MoH,-33.8159,25.4639,GPS
Gwabeni Clinic,Clinic,MoH,-33.0961,26.9619,GPS
Gwadana Clinic,Clinic,MoH,-32.1429,28.2889,GPS
Gwadu Clinic,Clinic,MoH,-32.2203,28.6677,GPS
Gwatyu Clinic,Clinic,MoH,-32.0169,27.3156,GPS
Gxulu Clinic,Clinic,MoH,-32.6452,27.1099,GPS
Gxwederha Clinic,Clinic,MoH,-32.8416,26.7865,GPS
Hackney Clinic,Clinic,MoH,-32.3144,26.6452,GPS
Hamburg Clinic,Clinic,MoH,-33.2905,27.4733,GPS
Haytor Clinic,Clinic,MoH,-32.2942,26.7705,GPS
Healdtown Clinic,Clinic,MoH,-32.7315,26.7015,GPS
Hebe-Hebe Clinic,Clinic,MoH,-32.2360,27.8303,GPS
Helenvale Clinic,Clinic,MoH,-33.9113,25.5513,GPS
Herschel Clinic,Clinic,MoH,-30.6147,27.1644,GPS
Hewu Hospital,District Hospital,MoH,-32.1727,26.8052,GPS
High Street Clinic,Clinic,MoH,-32.1686,25.6162,GPS
Highview Clinic,Clinic,MoH,-32.4351,27.9467,GPS
Hillside Clinic Nkonkobe,Clinic,MoH,-32.7522,26.6398,GPS
Hillside Clinic Senqu,Clinic,MoH,-30.5610,27.5642,GPS
Hilton Clinic,Clinic,MoH,-30.6971,26.7019,GPS
Hlabatshane Clinic,Clinic,MoH,-31.7449,28.8566,GPS
Hlala Uphilile Clinic,Clinic,MoH,-31.3810,27.0367,GPS
Hlamandana Clinic,Clinic,MoH,-30.8176,29.7201,GPS
Hlangalane Clinic,Clinic,MoH,-30.9586,28.5504,GPS
Hlankomo Clinic,Clinic,MoH,-30.9303,28.4191,GPS
Hlomendlini Clinic,Clinic,MoH,-30.5858,27.2632,GPS
Hobeni Clinic,Clinic,MoH,-32.1750,28.8757,GPS
Hofmeyer Clinic,Clinic,MoH,-31.6558,25.8040,GPS
Holy Cross Gateway Clinic,Clinic,MoH,-31.0812,29.4954,GPS
Holy Cross Hospital,District Hospital,MoH,-31.0812,29.4953,GPS
