FacilityId,Ou3uid,FacilityName,Province,District,SubDistrict,Ou2Code,Ou3Code
987315,D2TQgzl3HzB,kz Mvutshini Clinic (Hibiscus Coast),kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Ray Nkonyeni Local Municipality,446311,546212
442706,anWKEo1Z2Pz,kz Mvutshini Clinic (uMlalazi),kz KwaZulu-Natal Province,kz King Cetshwayo District Municipality,kz uMlalazi Local Municipality,446311,367621
956833,z478S4lofBn,kz Mzamo Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
533442,IdmSgEWAJAJ,fs Memel Clinic,fs Free State Province,fs Thabo Mofutsanyana District Municipality,fs Phumelela Local Municipality,217302,651821
453533,IdmSgEWAJAJ,fs Meqheleng Clinic,fs Free State Province,fs Thabo Mofutsanyana District Municipality,fs Setsoto Local Municipality,217302,651821
463624,b5mCCfOR8R3,fs Metsimaholo Clinic,fs Free State Province,fs Fezile Dabi District Municipality,fs Metsimaholo Local Municipality,217302,543412
944324,uCk9SOG7zPC,fs Mmabana Clinic,fs Free State Province,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,217302,441412
861351,ME8kWU0UX3u,lp Madibong Clinic,lp Limpopo Province,lp Sekhukhune District Municipality,lp Makhuduthamaga Local Municipality,325111,220621
580533,iC4QrGjmJkg,lp Mamitwa Clinic,lp Limpopo Province,lp Mopani District Municipality,lp Greater Tzaneen Local Municipality,325111,524721
783751,hrsvLawdaY9,nc Ma-Doyle Clinic,nc Northern Cape Province,nc Frances Baard District Municipality,nc Sol Plaatje Local Municipality,866402,495430
778160,xK5IXClMZu4,nc Manyeding Clinic,nc Northern Cape Province,nc John Taolo Gaetsewe District Municipality,nc Joe Morolong Local Municipality,866402,334321
773715,hrsvLawdaY9,nc Mapule Matsepane Clinic,nc Northern Cape Province,nc Frances Baard District Municipality,nc Sol Plaatje Local Municipality,866402,495430
730342,xK5IXClMZu4,nc Maruping Clinic,nc Northern Cape Province,nc John Taolo Gaetsewe District Municipality,nc Ga-Segonyana Local Municipality,866402,334321
957660,tV3bIVIgPoa,nc Marydale Clinic,nc Northern Cape Province,nc Pixley ka Seme District Municipality,nc Siyathemba Local Municipality,866402,646121
579842,hrsvLawdaY9,nc Masakhane Clinic,nc Northern Cape Province,nc Frances Baard District Municipality,nc Sol Plaatje Local Municipality,866402,495430
811251,tV3bIVIgPoa,nc Masibambane Clinic,nc Northern Cape Province,nc Pixley ka Seme District Municipality,nc Renosterberg Local Municipality,866402,646121
613906,hrsvLawdaY9,nc Mataleng Clinic,nc Northern Cape Province,nc Frances Baard District Municipality,nc Dikgatlong Local Municipality,866402,495430
587542,YYs2UMpZZ5o,nc Matjieskloof Clinic,nc Northern Cape Province,nc Namakwa District Municipality,nc Nama Khoi Local Municipality,866402,259530
613551,xK5IXClMZu4,nc Mecwetsaneng Clinic,nc Northern Cape Province,nc John Taolo Gaetsewe District Municipality,nc Joe Morolong Local Municipality,866402,334321
427133,xK5IXClMZu4,nc Metsimansti Wyk 3 Clinic,nc Northern Cape Province,nc John Taolo Gaetsewe District Municipality,nc Joe Morolong Local Municipality,866402,334321
513360,tV3bIVIgPoa,nc Montana Clinic,nc Northern Cape Province,nc Pixley ka Seme District Municipality,nc Emthanjeni Local Municipality,866402,646121
194324,xK5IXClMZu4,nc Mosalashuping Baicumedi Clinic,nc Northern Cape Province,nc John Taolo Gaetsewe District Municipality,nc Joe Morolong Local Municipality,866402,334321
266206,d8xaVWREBhh,lp Manyima Clinic,lp Limpopo Province,lp Vhembe District Municipality,lp Makhado Local Municipality,325111,487121
586360,iC4QrGjmJkg,lp Mapayeni Clinic,lp Limpopo Province,lp Mopani District Municipality,lp Greater Giyani Local Municipality,325111,524721
200733,WnTlsaSVlEm,lp Mapela Clinic,lp Limpopo Province,lp Waterberg District Municipality,lp Mogalakwena Local Municipality,325111,704412
541715,iC4QrGjmJkg,lp Maphalle Clinic,lp Limpopo Province,lp Mopani District Municipality,lp Greater Letaba Local Municipality,325111,524721
543233,cNqykWdrvRg,lp Mapodu Clinic,lp Limpopo Province,lp Capricorn District Municipality,lp Polokwane Local Municipality,325111,173403
463542,cNqykWdrvRg,lp Maraba Clinic,lp Limpopo Province,lp Capricorn District Municipality,lp Polokwane Local Municipality,325111,173403
610342,WnTlsaSVlEm,lp Marapong CHC,lp Limpopo Province,lp Waterberg District Municipality,lp Lephalale Local Municipality,325111,704412
811833,WnTlsaSVlEm,lp Marapong Clinic,lp Limpopo Province,lp Waterberg District Municipality,lp Lephalale Local Municipality,325111,704412
744924,ME8kWU0UX3u,lp Marble Hall Clinic,lp Limpopo Province,lp Sekhukhune District Municipality,lp Ephraim Mogale Local Municipality,325111,220621
783333,ME8kWU0UX3u,lp Marishane Clinic,lp Limpopo Province,lp Sekhukhune District Municipality,lp Makhuduthamaga Local Municipality,325111,220621
863215,iC4QrGjmJkg,lp Mariveni Clinic,lp Limpopo Province,lp Mopani District Municipality,lp Greater Tzaneen Local Municipality,325111,524721
228451,d8xaVWREBhh,lp Marseilles Clinic,lp Limpopo Province,lp Vhembe District Municipality,lp Collins Chabane Local Municipality,325111,487121
212142,ME8kWU0UX3u,lp Marulaneng Clinic (Makhuduthamaga),lp Limpopo Province,lp Sekhukhune District Municipality,lp Makhuduthamaga Local Municipality,325111,220621
116051,ME8kWU0UX3u,lp Marulaneng Clinic (Marble Hall),lp Limpopo Province,lp Sekhukhune District Municipality,lp Ephraim Mogale Local Municipality,325111,220621
375624,d8xaVWREBhh,lp Masakona Clinic,lp Limpopo Province,lp Vhembe District Municipality,lp Collins Chabane Local Municipality,325111,487121
887033,ME8kWU0UX3u,lp Maseven Clinic,lp Limpopo Province,lp Sekhukhune District Municipality,lp Fetakgomo-Greater Tubatse Local Municipality,325111,220621
459351,ME8kWU0UX3u,lp Mashabela Clinic,lp Limpopo Province,lp Sekhukhune District Municipality,lp Fetakgomo-Greater Tubatse Local Municipality,325111,220621
642124,d8xaVWREBhh,lp Mashamba Clinic,lp Limpopo Province,lp Vhembe District Municipality,lp Makhado Local Municipality,325111,487121
562733,cNqykWdrvRg,lp Mashashane Clinic,lp Limpopo Province,lp Capricorn District Municipality,lp Polokwane Local Municipality,325111,173403
532360,QAFeD9Y7ndl,mp Machadodorp Clinic,mp Mpumalanga Province,mp Nkangala District Municipality,mp Emakhazeni Local Municipality,827311,631203
550115,jV5WxrHYFzy,mp Madras Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,827311,976421
379551,jV5WxrHYFzy,mp M'Africa CHC,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
541615,jV5WxrHYFzy,mp Makoko Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
514051,jV5WxrHYFzy,mp Malelane Estates Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
361651,jV5WxrHYFzy,mp Mananga Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
672651,jV5WxrHYFzy,mp Mangweni CHC,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
778506,jV5WxrHYFzy,mp Manzini Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
132442,QAFeD9Y7ndl,mp Marapyane CHC,mp Mpumalanga Province,mp Nkangala District Municipality,mp Dr JS Moroka Local Municipality,827311,631203
749915,jV5WxrHYFzy,mp Marite Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,827311,976421
548206,jV5WxrHYFzy,mp Mashishing Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Thaba Chweu Local Municipality,827311,976421
824560,jV5WxrHYFzy,mp Masibekela Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
537560,QAFeD9Y7ndl,mp Mathyzensloop Clinic,mp Mpumalanga Province,mp Nkangala District Municipality,mp Thembisile Hani Local Municipality,827311,631203
362724,jV5WxrHYFzy,mp Matsulu CHC,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
734815,jV5WxrHYFzy,mp Maviljan Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,827311,976421
661415,q7RiAE9fLwc,mp Mayflower CHC,mp Mpumalanga Province,mp Gert Sibande District Municipality,mp Chief Albert Luthuli Local Municipality,827311,334903
540824,jV5WxrHYFzy,mp Mbangwane Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
627451,q7RiAE9fLwc,mp Mbhejeka Clinic,mp Mpumalanga Province,mp Gert Sibande District Municipality,mp Chief Albert Luthuli Local Municipality,827311,334903
520624,jV5WxrHYFzy,mp Mbonisweni Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
827933,jV5WxrHYFzy,mp Mbuzini Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
154751,jV5WxrHYFzy,mp Mgobodi CHC,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
533715,QAFeD9Y7ndl,mp Middelburg Civic Centre Clinic,mp Mpumalanga Province,mp Nkangala District Municipality,mp Steve Tshwete Local Municipality,827311,631203
